Name,ELO
frankenStain,881
tony97,813
silentProtest,798
Pechnik,749
darki333,726
Luffy97,709
Yili_,705
Suolane,684
Arrigo II,684
Yalacarteresto,677
ANKOU2000,675
Jincarnate,662
Patrick of the Isles,649
Barrel Rider,645
Bill NyeSaba,633
cieciel,629
nazavode,622
Hasan Fransson,621
peace625,618
A_little_seed,616
smoula892,613
michaelHastriter,612
jangjang234,610
rlai002,610
Bigggggggest,605
Highdry,605
sam684,599
kofpeace815,596
ginger977,588
doncherro,587
hybone,586
SYushen,584
OlivP21,583
skeeterdoggy,582
theslider22,580
yeongjin,577
Commandos,572
CSAZUL,568
TraoThi,565
sk_flourishing,563
theriser88,562
RGruijters,559
Roland,558
Folpè7,558
Kajigs85,556
assogbg,554
RomanVashchegin,553
ElToinox85,553
Rui Xiao,552
Mc_Username,551
NisabaOP,550
Nyne-Nyne,550
Guigui59146,549
Yann4400,549
jjthejetplane246,548
brex2599,547
Izi14,547
alexilarduya,546
Paatizly,545
orpheus01,545
titanxxh,544
mming4,544
dengshouhang,542
WizHardcore,541
stephleo,541
Jasper,540
NEFASTO75,540
dmdm02,538
creed23,538
znexws,535
fyqy001,534
Skanky,534
will_will,533
devacodex,531
CGNBL,531
k4d4verin,530
figtree13,530
Rubadur,530
shibamizo57,528
strangeshadow,527
kingcloudsum,525
supermonkey1860,525
Titibeau,525
Vperwonders,524
Espanico,524
ShockFlow,524
stefanVVV,523
guib2c,520
Susanoo,520
DracKeN_CZ_,520
Legendario123,519
Falci,519
El Matador16,518
Tourbal,517
TacCOIG,517
Min Night,516
Kuroyo,516
funkdoc,514
RJ_Jap,514
EmileChesskey,514
rpm002,513
mrSkywalker,513
Tib38,512
Athena1985,511
Nofearesh,511
ClemMcfly,510
billcat,510
Lena001,510
MrSpoke,509
Molbertino Aquarelli,509
Vympel,508
Il_Giannizzero_Nero,508
hpiero,507
GuStLiK Torun,507
Federed82,506
RollForVictory,506
Tombyk95,506
SashaIr,504
MOSMOH44,504
flocky2442,503
betterthanchiddy,502
Kim_Boardgamearena,502
Le007n,502
xnikkix,501
Nome de utilizador,501
Ender_Wiggin,501
pasa_4,500
Teugrim,500
chessmathter,500
eks11,500
Ankit91,499
kkc818,499
DyegoRyvera,498
brianlenz,498
Erik--NL,498
Franck95,498
mikestephens,497
Draymond23,497
newruud,496
OUINOUINNN,496
al1906,495
SteBaldwin,495
Skouna1,494
totortic,494
BANGZOO,493
AdrizSnk,493
gouzi416,493
deadhorse,492
FastRacoon1,492
vagelis31,492
NIJL0,491
polopell,490
Jorenftw,490
3_14_Salaray,490
JuMasse,489
fyqy002,489
tchelorock,488
docbohanh,488
km1998,488
Shaka_911,488
Speedy_Gonzaleski,487
HyoHyo222,487
themilkywaycitizen,487
wolf1ink,486
LSyp,486
Top_Shef,485
broodstengel,485
Francoismartin3,485
skyanosn,484
Prodinho,483
ironiineon,483
wenzge,483
chiantlessurnoms,482
Scops,481
JuliasiG,481
rob1croyable,481
mythara,481
wanou30,481
Mamamanuu,480
let dianquan fly,479
faconico,479
Grinli,479
Sauron1899,479
Judy215,478
Cageauxfolles,478
blue_sky_,478
fuluuu,477
aaoff,476
JonSenn,475
Mayasteph,475
richgd89,475
fyqy003,474
Cailloufoufou,470
davleblaireau,470
ajdrop123,470
19max91,470
ZlKv,469
MaeCamille,469
patfav,469
wibob,469
TGGT,468
mikealexpeck,467
yey_op,466
silent_tlt,466
illiraider,465
jcedarbaum,465
AlexVlav,464
gueguette4008,464
ashallue,464
SugArFaN,464
giovep,464
Wettkanzler,463
kendentil,463
mariano italianoo,463
