Name,ELO
Wonderful Plays,652
RedMeeple4Life,636
Hyeungok,611
bestafktoplaner,556
biggetje,555
Nicole Koleff,553
BlackMasca,538
Il Contadino,532
6element,526
Aina3,526
Syl20rrr,522
antoniozanutto,521
Qvart,517
zbc321,515
Loup1000,512
Cheawyn,510
geyi0085,509
AndyBezzera,509
Arbre Bojo,508
Waspq,505
329375827598,501
1048576,500
LuluLaQuenouille,500
mmcafe,498
Zonzina,495
Thornvalley,494
elnuma,494
Emgina,494
aircombo,492
gogo_90,491
skyanosn,486
Tuomi,484
76847643,484
nick98,483
pliskin64,481
Otava,481
0oPKo0,480
Miguel2000,479
trochoi,479
Schnitzolaus,478
peach cobbler,478
Alex1912,477
Li Dayou,477
Bazar 98,475
deass78,475
SonnyBB,474
should,473
Evgeney24,473
turtleduck88,471
kragonn,471
Kira99,470
KurczakPower,469
sshyg,468
Prodinho,467
hus,467
997IF,465
talegame,464
Portnoy55,463
1912,463
Flosimelator,462
troforhmm,461
DavorCar,460
998IF,460
sandermatt,460
gilbe,460
thirty30,459
cherry-pickled,459
Gornal,459
robeaf,458
TomInBC,458
shreyuz,457
Finding JLav,456
Rui Xiao,456
Thomas van Lent,456
dentyu25,456
HS35,455
dav888def,455
evgeny17,455
Jazzzzzzzzy,454
Grevling,454
NogsyBoy,453
Zenphy,453
Joseph Merrick,453
Ami Pierrot,453
aishu89,452
bluemutant,452
Leviatha2616,452
pavmojo3,452
katsi,451
Kajigs85,451
mdm073,451
PBRskallys,450
darthpaladin,450
vogon poet,450
T1-Faker,449
pelacito,448
Vent_pire,448
Suolane,447
MadCassowary,447
Aleksandar1231,446
Falci,446
Rodekraag,446
Parabellum101,445
naewry,445
antelegenda,445
iarsang,445
KnightofCydonia,445
chabedou,445
PapExpress,445
--Gabzzzzz--,444
Keppage43,444
a3m1,444
SHAMANDO92,443
anubis5,443
kwlau,442
Chesslander3,442
Irytek,442
H3pha,442
floating-rabbit,441
spogre,441
Matété17,441
CoroNino,440
Iguana,440
zhenzhm4,440
supramegasim,439
yding4,439
Laktoteo,439
DrGiggy,439
neayaen,439
Blekitny1,438
Box of Wine,438
CherrySkittle,438
B2izzard,438
Matarak,437
Jayzilla_be,437
-GorillaZ-,437
Moisturiser,437
RedMeeple4Ever,437
KillbotFactory,436
Easier,436
shecon,435
Raphlecrado,435
Piou49,435
Martybum,435
Nagas777,434
guiguibzh,433
critical,433
dunbroch,433
Yommu46,432
zer0skar_I,432
A_little_seed,432
dzhavaharnal,432
Fiskehaps,432
witeken,431
romain26,431
silvia829,430
Renedekart87,430
SonnyT,430
xex238,430
Yack_san,430
shu_bot,430
Biweck,429
IronMoss,429
Lorkin7,429
lunog,429
Zarstou,429
Master74,429
Gilou,429
Swainiac,428
StepheVino,428
Cipan,428
xgillot,428
balatoots,428
Rukawa71,428
martinroob,427
TnTR,427
Galaglar,427
zigimigi,427
Vikki,427
koumpakiass,427
Cassis0,426
Goligolaa,426
LauMaia,426
Raymond Roussel,426
Niutacz,426
Patouille,425
TheNeedsOfTheMany,425
cosmosis,425
