Name,ELO
Shimon142,804
Schwen84,795
Fab16,785
ZZiLL,769
cannonade,763
alfredddd,755
Trainalot,748
TheMaestrone,746
Duckhunt,741
scorps4,740
thekid,739
Sysyphus,739
Flop Kasi,737
WillH,731
LeGoupil,725
winterhorde,722
DrakeStorm,720
Diger74,717
will_will,717
ommie32,714
Knockando,713
admitted,711
teobellu,708
Billy2021,707
KouKiRi,704
KengSPb,701
Ceaseless,700
toutoune - Morgon,699
raginharti,697
Telorboy,694
KoreanZombi,693
tiploup,687
Elric_S,685
onyx puffin,678
unkféavec5pail,678
Flop Hecki,677
dandee15,672
brainaid,670
niktak,667
Peter_65,660
Urtick71,660
dhd511,655
Geoff,654
tigévé,653
Karl_S,651
MorientesZL,651
RedMeeple4Life,651
Docent,650
Olimpionik,648
mitotim81,648
davidb9,646
8il,644
smpalace,642
kwadjo,642
SplendorKR,632
fandangorumbazepolka,631
loka115,629
Fleurdelysé,628
miguelmarques,625
Pell0,625
claretw,625
wwwincent,624
The Papanator,622
bgrizzled,621
MingaMinga,619
EPO37,618
AlexZ,615
DaMighty,613
yaniis-89,613
cyr_b,608
ian-w,607
ExaltedAngel,607
VojFromMars,606
Tetin88,605
Normal Distribution,605
menettm,604
vilo4ka,602
Xi JP,602
Anitaf,602
Mr Wholesome,601
GenuineFauxFarm,600
Sara_2294,600
Choo Choo Train,599
djcarrad,598
Molenbeek,598
Fred Fussbroich,598
Corflu,597
lirex,597
BalduvianHorde,595
fifer,592
wostwuist,592
RalphLeb,592
DG313,591
Juboous,591
Doc Tahiti,591
Turithron,590
Tootallt004,589
WoodmanWoody,588
C4Wat,588
gunawanlie,587
Boss_Alec,586
Spudnut,584
Nextstopunknown,584
Spielen8888,582
jd12m72,581
Anspieler,580
MadManMark,579
GSV3,578
ispanico,578
PADEPANIX,577
Julaan,576
Mad Pete,576
Ransri,576
ThoBad11,574
jaycuse44,573
Batze,573
kickmaster,572
Norberts96,571
namnams4,569
BonafideWerewolf,568
Rik_NL,567
KhangaÏ,566
Tim07,566
2288sam,566
MRomeo99,566
Cedroc92,566
sfoozy,565
Wolfe11,563
Tomihawk88,563
simon06,563
maperes,562
Rotwild,562
pagenotfound404,562
nassos17,561
abwanab,561
aparlouer1,561
HectorSkelter,560
Agric shapedet,560
LAPPESO,559
keratyn,559
Kutsiku11,559
meurice,559
aleschugur8,559
Ulza,559
DubyaW,557
Kooombi10,556
ilfuAvidoGianpi,555
Thomas van Lent,554
Rutabaga00,554
Parmenides,553
Miisha77,553
Granite116,552
NoemisRN,552
Grantzvartnots,552
Gattivo4,552
crocodilefundy,551
Max_Turtle,551
matfan,550
Cournot,550
Hank1022,550
Smikkelbeer11,549
Star-Dust,548
cuteslug,546
jerclarke,545
Neozen56,545
Photios,544
flexflak,544
TiltAWhirl,543
moucro,542
Falci,542
klnclouds,542
_Turkish_,541
SisterMaryRobert,541
Heizer_65,541
Beef is back,541
paolo2207,541
Raulspisp,540
sergibro,540
Fromper,540
watermelonfries,539
Myrmigi,538
guiguibzh,538
gil02,538
Pinar88,537
Ajaax,537
Carlos-K,536
Mr_yoso,536
Isaandra,535
aleexb,535
Dorothy_Parcoeur,535
Prioctopus,535
wooel,534
gura3,534
zeli0nCL92,533
Quangola,533
ScooterM,533
anoniemous,533
PulseZ,533
Malice55000,532
gabibati,532
drannoc95,532
Borgif,532
Zappaga,532
Ecke01,532
vicmckay,531
Vikram14,531
earthquake234,531
PieDemon,531
pietip,530
Nürtinger,530
Sam7000,529
Killer danus,529
kcampb27,529
Matété17,529
Nushasmall,529
toto9131,529
bombjack,529
Chris Glassburn,528
Dragonrouge,528
sqt02,527
Rutelloo,526
danitake,526
susvandebus,526
Pampa63,526
Meadowblack,526
ansanmu,525
drmix,525
daraddor,525
chakrakhan,525
Go_Vegan,525
dawarmage,524
MissDong,524
traveltom,524
Valerio,521
Moini11,521
suyaho123,520
Deimos_09,520
HW1101,520
Pr Milbrouk,520
FlerFlegma,519
dro2022,519
Walo008,518
spaccaculo,518
duckbert,518
deckenburg,518
MaciejJ,517
Cino95,517
andremiguelaa,516
Duckworp,515
yekpanjare,515
stampacchia,515
borsi-manos,515
lexicam,515
kampfrabe,514
smartin23,514
Poule_mouillée,513
Morpheus42,513
Yannonymous,512
SuperLuli,512
Stayfun79,512
Vuskovic44,511
Butterfly4633,511
felicityjs,511
WilliamAtYouthPark,511
swisschazza,511
Cactus Tom,511
plouc,510
DDH077,509
Osolemirnix,509
bob1616,509
goodluck_jonathan,508
Heidecamper,508
broodstengel,508
PersianArianagrande,507
Mingo,507
Jeroenpenguina,507
RLProto,507
mecciu96,506
0strich,506
samdeakin4,506
sdra,506
Guit33800,505
tommymo,505
David_Pearce,505
WonderfulDay,505
sycamarli,504
mathlobster,504
SuperTlaloc,504
Sn4ke,504
jovanjovan,504
Zagraj ze mna,504
RicardoJorgeGomes,503
trainrider77,503
Hitzon,503
arno c r,503
Christ96,503
basilpesto2020,503
Dawn007,503
Kone007,503
Yellow,502
Zorgphile,502
matt979,502
gabibkk,502
Naddosh,501
superhotdogs,501
Ntrqq,501
Arquebusier4600,501
Noble10,501
archam,501
Alfyyj,501
vilchin,501
Zombieland,501
Jarl_Ragnar6,500
Sephirt,500
fyqy005,500
alex2918,500
sMedd,500
kspttw,499
ajraut,499
Alypaly,499
keren2020,499
Teampaddy,498
BD525,498
batoune1979,498
XandriaX,498
agence Reboul,498
senglar,498
AlolanExeggutor,497
vigulisam,497
JJBurns22,497
Eraser95,497
garyvix,497
masaroze,497
Amanda79,497
luigivallome,496
LovelyPanda2,496
Toledus,496
rafgins,496
traprap,495
Taximaster,495
EdElricson,495
Aufdemblauenmeer,495
ahahyeapp,495
sarahk_nz,494
Brohamand,494
Ce1ebi,494
Lizzy10,494
tchobello,493
pinkieval,493
nicsal92,493
skarus1971,492
Tex10,492
BenjKBour,492
francois nicholas,491
Zuppi64,490
Phiro95,489
YannnX,489
VassiX,487
wendy9119,487
Jeanleplusb0,487
libélula,487
giufe94,487
KiuIras,486
ShvedA,486
Kuckuck2000,486
Ankit91,485
kirstibear,485
ErikdBesten,485
PatchesCW,485
Loganymede,484
Kaya31,484
poiul,484
Ironhorse2,484
TiamatUA,484
wizardparty,483
fyqy003,483
MrHomn,483
QumniusMaximus,483
dango1000,483
OopsILostAgain,483
Solacht,483
avelache,482
Kirua974,482
lulu5922,482
svrr,482
Agood314,482
oznerol,481
Plansch,481
Paf01,481
Bon12345,481
Sabatchka,481
Rawrencia,481
kfernstrom,481
thoblom,481
Mac-Leod,481
ChiefPointThief,481
LH44,480
loca26,480
counterspell73,479
TomEPats,479
munever211,479
Rein903,479
stoczek,478
Sirious,478
cica_maca,478
Orophoin,478
Alemaloni,477
ProfScott63,477
duchil,477
rajeevbat,476
Dimdin,476
Vufer,476
che-corleone,475
Hipolek74,475
Dzida23,474
nesticor,474
Sp1d3r-b0b,474
micolux,474
agilehunter,474
sebastienj,474
sam684,474
SenzaPanna,473
auré2586,473
SeriousMind,473
Cuisbos,473
Hilbertisawesome,472
kimiko2019,472
Last Place Roy,472
KyngBoomstick,472
lilles27,472
kathkiwi56,472
iamonthetop,472
ipnis,472
Iguana,471
MaxNash,470
ZlKv,470
LegaultS14,470
TheDidi,470
Padpado,470
LetztesMal,470
Mat864321,469
lchoisez,469
MinaBures,469
kenaton,468
thg0724,468
Alvarilan,468
grantshao,468
kingpat,467
jeremoi,467
Irinamoreno,466
Duke71,466
Noune54974,466
Stackie,466
rilo_afc,466
middi78,466
Mikey26,466
Alexisco,465
HethOfFyfe,465
otk,465
Benjamin3,465
PeteZah,465
superfishy,465
vikokzs,465
aleredblack,464
AdiAdi117,464
KK_special,464
birghähnchen,464
wendin,463
EuroGamez,463
TBoneBuff,463
kyoko_1027,463
Lynnifee,463
Rammstein95,463
Bakbuk7,462
EloMigeal21,462
Cassis0,462
Patonkipoju,462
Jose_Almeida,462
piastrella17,462
Milbsie,462
Ciaci,462
josephine92,461
Livini,461
Dragnir_07,460
dorianine,460
russettt,460
DPELED,460
Sarquer,460
PumPumPum,460
FlipperWhiz,460
AlecitoLindo,460
-Rhum1-,460
JoftheH,459
j_sweater,459
szyasbn0o,459
averysmith,459
ABC123,458
pojo,458
shtinoow,458
allanxlz,458
dkl116,458
74yarince,458
fairfensheeding,458
l2muir,457
Kaliko-Jak,457
ZennoS,457
BarbarianMiller,457
Oops I did a mistake,456
abortuska,456
Valérie Bergeron,456
arr28,456
Isaacdnt,455
scarini,455
lo1512,455
Core1,455
arisee27,455
Kruediger,455
n0mi,455
perdigiorno,454
AcrossTheNight,454
Llessur,454
Petersburg14,454
ZZnew guy,454
vitt,454
diskonnect,454
peterdotdev,453
Julian1212,453
Droodhum,453
251284,453
DexterLogan,453
xelda,453
Rgoedseels,453
VichenteAO,453
GigaFiga,453
dreams11,453
butosh,453
pbord,453
QueeniTee,452
abugrag,452
ballstein,452
Bluebird555,451
jeffrey for the win,451
Roitelet,451
-Anael-,451
Imaginary_Letters,451
cjflash76,451
Lfie,451
katerynka11,451
Sylaos7544,451
yannnaga,451
Angostur4,451
Crunch33,451
mikez423,450
seb2169,450
ikmar,450
SDH24,450
seriosha,450
Pam2428,450
zdro1,450
WancleR,450
zenAudrey,450
Gabrielle_c,450
VMSpb,450
kevinnord,450
pepito008,450
gmrsmrt,450
Gaius Sparhawk,450
rodienst,449
Roman4,449
3moss,449
proofb,449
robkin,449
Capsule13,449
yukimura1130,449
doesunhy,448
good2cu,448
Dominik123,448
niehubert,448
Coquelicoc,448
XinxinVictory,448
deener89,448
Tater301,447
zeppard,447
xxP2Mxx,447
Utir,447
slothlife,447
SilverJKS,447
Sharky54301,447
Alyssagiusy,447
alpharetta_26,447
Yoliem,447
Menders123,446
