Name,ELO
jnehoc,655
Fletcheese,651
tagnak,649
FirePhoenix138,641
ag605,622
soaked_in_bleach,616
Katzenbabe,615
jacobhu,612
TheEpicSaxGuy,600
cardshard,595
timtehjiajun,589
xxrft2021,586
CzarBomba,582
Sim1717,581
Zibest7,575
Mniziol,570
Nic11111112,566
SpaOwner,564
touya tokitou,562
mybeardd,560
vale ropele,559
Samuelsson,558
Veraxiel,558
Muzhachello,558
ellozis,554
PieDemon,552
jasonb05,552
WadeWattsGunter,550
Sleno7,548
JCDestructo,548
panda-maniac,547
pruzzante,546
kenyou2859,545
Hesriana,544
Rick2342342,544
glebbus,539
gollum1305,539
Glory2HK,538
Neil Dowgun,536
Mayonaise en curry,535
cheatbot,534
AndMat1,534
Sturgeynoogar,533
Colvile,532
magicmoose66,532
Bandana615,531
AA13,530
yakimorokoshi,529
Hassan_al-Banana,529
Hatomz,529
Cryptid22,528
mitsukidaaaaaaaa,527
willow414,527
Baque Sténe,526
Kani-Taraba,525
I am the Raven,524
Madlaine,524
SKB1,522
QB-,521
eeema,521
MapleDeep,521
yeiiowcat92,521
ReiheiH,520
PYER_DE_KUBERTEN,519
hyu1021,519
swilkiway,518
Chicka-whah,518
kmoy,517
Deadman,517
mirihitoequal,516
Domain,515
Akkadokk,515
Ze Monstah,515
SportsClown,515
Likewize,515
snowyphoenix,514
angixxx,514
definitelynotanerd,513
Sompeak,513
riku21,513
zak11,512
SLKush,512
aardbrake,511
yushiro0415,511
woti,510
tomllee,510
tuckthebird,510
yuanthelottery,510
Boondizzle,509
Barroncuda,509
Mixxster,509
locodoooL,508
luke21011,507
RuggRising,506
sabertooth23,506
The Aristocrat,506
mangup,506
jeastthebeast,506
tumtum,506
draftdaygm,506
TheDiamondRuff,505
1kua17,505
johelmuth,505
Frostsaber,504
Tomihawk88,504
wonka01,504
soccermasternerd,504
AmenableGroup,504
Guldkatt,504
Wongowongo,504
Kavorka,504
skaedeli,503
sndxshrooms,503
airgeo,503
ColorfulPockets,502
Ceaseless,502
Theerathatja,502
Grunlicht,502
drdeadpool,502
Lumin_S,502
Thali36,502
DrKatafalk,501
xSaChan,500
East_Sea,499
jrhett,498
ianicious,497
MobiusMetalBand,497
MikeMunson,497
Anastaceya,497
Sambanana,496
Clonepepper,496
GrandAt,496
MrTreeHugger,495
Peter ASR,495
engawa75,495
yutanpotin,495
HostMortem,495
NisabaOP,495
Sonnegogo,494
ProfessorGlatze,494
Kyra S,494
bman466,493
gibobi,492
Larinus,492
backstein000,492
kobaray,492
Ruvage,491
Bob Anderson,491
CF_Azaka,491
randomronny974,491
Talamond,491
Torrfluga,490
Osprey,490
nickmob23,489
Tourmalet,489
justin_cognito,488
tomf89,488
Real Lincoln,488
flrschmd,488
abridge,487
rfellerman,486
bkrier71,486
jacobm9,486
BalletMage,485
PaulB-UK,485
mercenari,485
ducnm113,485
RoyalApe,484
rukarin,484
smoobeats,484
btjohnson15,483
drsmi,483
miiiiiiiiii90,482
admitted,482
HarleSOS,482
mia-12XX,482
LaLoredana,482
Karadril,481
CrunchyLunch49,481
Fritz the Train,481
floorpizza,481
stubss,480
czarkapieczarka,480
Czarsky,479
Pho3nix1901,478
daisuke1234,478
kaihk,478
sfree,478
JCavie,478
mandrage,478
eridan74,477
jado22,477
Tungrull,476
mursuka,476
Lisa-Fee,476
seriously antisocial,476
ciess,476
Alicante player,476
Turbo Pushka,475
Itdau,475
hike17mile,475
abomm_,475
potomech,474
persee,473
bobbypao,473
yukke1017,472
rossily,472
Shilohine,472
Rayne41,472
Gandalf le jaune,471
daliabb,471
Photosolo,471
MilenaGG,471
kankodori7,470
hexadecymal,470
qqqwwwzzz,470
charliefreak,470
Ronnie the Rocket,469
johnforbesnash,469
Journeyman12,469
mariechen92,469
Physics and Linux,469
Chitalol,469
Simone92,469
grodi,469
J-Ziddy,469
MyCatIsHandsome,468
inukai52,468
HawkLake,468
rich937,467
legozu,467
GonnaWinThisOne,467
yanshing,467
akira100,467
gameworm,467
tomynabo,467
aseem223,467
hippy34,467
donegan,467
MrJangles,466
sorasono,465
baroni,465
Malarky,465
buchholz22,465
apanna1236,465
Oliven7,465
Leonidas1982,464
Misacek_BGA,464
ThomasOmata,464
JayOk215,464
EmilHarold,463
AHAHAHahahah66,463
CUnknown,463
zaperok0,463
Hewey,463
FailWhale2,463
Mieldeciel,463
lupin14427,463
Forgi,463
syms,462
bobek86,462
Greater,462
Murgino,462
Eljbeta,461
wingchaos2012,461
